"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SMA_E2";"SMA_EDGE";1;"SMA_EDGE";;;
2;"SMA_E1";"SMA_EDGE";1;"SMA_EDGE";;;
3;"U2";"MPU-9250";1;"MPU-9250";;;
4;"U4";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"SAMD21E17A";;;
5;"C1,C2,C4,C7,C15,C16,C19";"C_0603";7;"100nF";;;
6;"C3";"C_0603";1;"10nF";;;
7;"D1";"C_0603";1;"LED";;;
8;"P1";"Measurement_Point_Round-TH_Small";1;"BL_PAD";;;
9;"P2";"Measurement_Point_Round-TH_Small";1;"SWD_DAT";;;
10;"P3";"Measurement_Point_Round-TH_Small";1;"SWD_CLK";;;
11;"P4";"Measurement_Point_Round-TH_Small";1;"SWD_3V3";;;
12;"P5";"Measurement_Point_Round-TH_Small";1;"SWD_GND";;;
13;"P6";"Measurement_Point_Round-TH_Small";1;"SWD_RST";;;
14;"P8,P9,P10,BAT_NEG1,BAT_POS1";"Measurement_Point_Round-TH_Small";5;"CONN_01X01";;;
15;"R1,R2,R12";"C_0603";3;"10k";;;
16;"R3";"C_0603";1;"2k";;;
17;"R4,R5,R6";"C_0603";3;"1k";;;
18;"R7";"C_0603";1;"2M";;;
19;"R8";"C_0603";1;"220K";;;
20;"R9";"C_0603";1;"10R";;;
21;"VR1,VR2";"C_0603";2;"CG0603MLC-05E";;;
22;"Y1";"ABS07";1;"32.768kHz";;;
23;"C8,C10";"C_0603";2;"100n";;;
24;"C9,C11";"C_0603";2;"1u";;;
25;"C12,C13";"C_0603";2;"22p";;;
26;"U1";"SHT21";1;"SHT21";;;
27;"U3";"RFM9xW";1;"RFM9xW";;;
28;"U5";"MAX-M8";1;"MAX-M8";;;
29;"C6,C14,C17,C18";"C_0805";4;"10uF";;;
30;"C20";"C_0603";1;"33nF";;;
31;"L1";"C_0603";1;"100R";;;
32;"P11";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
33;"SW1,SW2";"SW_SPST_EVQP2";2;"SW_PUSH";;;
34;"IC1";"VSON-10-1(4)EP_3x3mm_Pitch0.5mm";1;"TPS61201";;;
35;"R10,R11";"C_0603";2;"DNF";;;
36;"L2";"Neosid_Inductor_SMS-ME3015";1;"2.2uH";;;
37;"L3";"C_0603";1;"INDUCTOR_SMALL";;;
